title,link,date,publisher,image
Trump Rescinds Biden’s AI Executive Order,https://news.google.com/read/CBMikwFBVV95cUxPMTc5TkdOY0wta29EQlJfNW1pYmxYb3RCVnZlQ3pPWFBiUzRRSnpkV3l2cnhDTmhuOVRLQzR1NVI1UW5HMXdLMG82VjhJOFBhZGVCTkwzVW16VHFzbTRtLU9OSXBBZmRtcjR6RVNHMTBhMGtzMTNBNWpWcDNYX2NQUzZ6V09PNTNxVkV0bDdJZ3ZBbFE?hl=en-US&gl=US&ceid=US%3Aen,4 days ago,Reuters.com,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.reuters.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Trump orders AI action plan and more work erasing Biden's AI efforts,https://news.google.com/read/CBMizwFBVV95cUxPT0I2YTh6aW9ab0xqcVBfbjVsTnpNVlNzYVZ1dWF0WGpzS3ZCa0wzSmprc3UwR1NoQm9DcTBhQzdjZ05WbFdhTFR3ZFpzSlBXa1dwZUxaRGVfblRpcFFlU0d4a2N4angyODZrTEhtLUk0bXVKdFF6X1FKY05nd1Fjc2RTSTZWSHZ5U1FtaFJSMWZuMXRhV09RZWtMQ1Exdnd5dmVXYmhhTTNrOGNvcmhGczQxYzc4a0tnRzhsQU5EdHJvZTZTZ2d4c01Va3FRUWM?hl=en-US&gl=US&ceid=US%3Aen,Yesterday,VOA Asia,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.voanews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Trump signals aggressive stance as US races China in AI development,https://news.google.com/read/CBMiqgFBVV95cUxPS1pmUUlrY1BoVGpEVDE2c3NvWHd2bk1aV1NQNnR6LWJBQnduQTVaVGYxdV9OWjhlZlFyNnNoYzFqUUROUG9iSkZqVjJqRi03bl9MNHBXTlAyNkh4blR0bDQyUzdPQVZxZHFOcGhMbkhvckpoZDlacWUxTkY0Qk1obExiV1QyR1c5aDM3NEtUQ05PYmQwNDNKMjYzNUIyX091a3AxVkhFQXlLQdIBrAFBVV95cUxQMHRBLWMzb29nb1loR1pBcVBvaXpTb0xaQ01hTmlBTlRyUUxUSGRJMHFwNllkaUUtYnJrQ0xsWXNiVkpYb21fRGx0NXlmRExRRElORFZ1MjctQkpYeG4zZDNpYkQxeTZOZzRRTWh4NDd1anltTF8zNDJsY2RNQzRmSXIxS0tkY1dwWFdZS3cySFNrYVFscWVGUzdMNlNYQTlueEVOLXFlLWRsMHRU?hl=en-US&gl=US&ceid=US%3Aen,2 days ago,The Washington Post,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.washingtonpost.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Trump tech agenda begins with $500B private AI plan and cuts to regulation,https://news.google.com/read/CBMiiwFBVV95cUxNa1NielAwcWh6cHk5LXhWakxmVUFEdzBKdUZHX2xWLXE4M3RxU0ZUYlhBN3hwX19MbmNCNEpiakJsQVMwQUU1SEd5VW1YWTdRUGtxTHZsbkg5WFJsUDhfU0ptaGQtVzhvYzB4cFozWC1fWnhRVEtjZ2ZIMUhOWWtFM3ZMcW03bGJUUm5n?hl=en-US&gl=US&ceid=US%3Aen,3 days ago,FOX 9 Minneapolis-St. Paul,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.fox9.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
"What is 'Stargate AI?"": Trump announces $500B investment in AI infrastructure",https://news.google.com/read/CBMif0FVX3lxTE1qRWZ1Vm8yWEx5b3NKTXNXMFpFRU5meG5EeWpCTXM0bGhEQXNFRDR3U3ZwcGMwb3ExMnBpeEw2Mk9oRjhPYnNSRWRZWGd6NjVadUI0enNOa3JrcXZTLWZCR18zUUFsa2VkU3diOEphdlZmLVQ4WVFPRk00Wi1UX3PSAYQBQVVfeXFMUDBUSmdMcGhVZHkzUVd5ekhRekJoVTVxc1JnNHpETTJOckVicXZvSnVIYjk0YkxQLWhCR1NIREVwOGNnS2I4dXIyRnI1RmdDOEc0TEpncUpfYUxTYkNpNjNMRV9GNjN5ZllZZG04U1hqeG0tSzBVQkN6UzF6bm02ekhRVHRt?hl=en-US&gl=US&ceid=US%3Aen,3 days ago,Al Jazeera English,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.aljazeera.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Trump announces $500bn ‘Stargate’ venture to build up AI infrastructure,https://news.google.com/read/CBMirAFBVV95cUxOLWsxa1ZqMzRFVWcwSTZJMWc1TmVadGNaN1RScDlnWWZXdmhBbkZaeUhZNGVxTFRwRnZLWlIyVGxWRjVMR2JHZTV1dzU3Z3FRaXlTTG95dVhTSFBfckdVQ0VTRWo3TlkzdzVqbUFmTnlkeXgwRUw4LU1XZ1VhVlpqLW1ackFkMHN1czlLc3NiRGJmUmt0SHRtRVNRZjR5eHV4bEVlR0lnYlpqMm5C0gGyAUFVX3lxTE1sMU1EV2x6RWRoaVZLTGNtZnZ1c1dDdWMxQlVFVlQ3cDBwNk9FU1djeVRRdnlJeXI2M2I1STNPRFJzLVI3VncxTThRSThjSTlyVTB0UXh2Z2ZVdGFTYnM5TS1xOFBNMWREMnQtM0VuYk51eXBFM0pvSGhLVkExNElMUmxHODhjTUpwdGhxRkVzTllLNFYzZ0pmSDRuMVlsNms5ZTVfZmRZOXUwY1VnejhLaHc?hl=en-US&gl=US&ceid=US%3Aen,3 days ago,Executive Gov,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://executivegov.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Trump’s Executive Order Calls for AI Action Plan,https://news.google.com/read/CBMiekFVX3lxTE00ZUdleDcyYlpIeVpsZDdZR01KUVRnZ2ZCLXVBZ1ZxY1RTVy1NUF9tV0htVTVKbFhNR05xd2VTRS1uNFkzU3h2MkFsYTR4eDNYNUdnQWVBN2p0b1ZNcFg4WVZ1c2k2TzdWRmYxV1ZRTUI4ZHQ2M0owaDJR?hl=en-US&gl=US&ceid=US%3Aen,11 hours ago,VOA Asia,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.voanews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
"Trump signs executive orders on AI, cryptocurrency and issues more pardons",https://news.google.com/read/CBMirgFBVV95cUxON2lQMUFCOXhHUndjRTdrSnl2bmt6R0NTaVpyMEJOSWUtTDhrQVA1ZVo0b0dJRjBibmloZUxhYVN3OXhzdVY1TVptY1FrNkRUSjlPQmdFQjhwbEJBMVM1U0Y1U3BkSVZUZTNnYkpvTEFMOVJEX3hNZVEyNnZpaXJMTXZ3VFY5enRnMGxMOERTZlYyMGpOUEFzUjBhRnV3WXZHeHFWdXZmRHdCNm9MSUHSAbABQVVfeXFMUDRYMTVWSnBsby1PMGNHbUcxSG5iQXpMRE9JcENEMUpndkg1QWRISUltdlRobGtZMGFRV0RnbEcxdkVZM1ZHVWZSWGtVU3FGdDFQQno1S1F3bW1aNHczV0pVWDhUX2xES2Z4YzVITXA5M1JxazFvTnNRelpyRFV1V3NFTjNzV2RJSWtCTFdZR3h3bC1PYWstSTVUSXJjY2k2YnZ1ajRDbHhXSnNoclhMVjE?hl=en-US&gl=US&ceid=US%3Aen,Yesterday,Fortune,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://fortune.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Trump staffers are reportedly ‘furious’ with Elon Musk after he publicly trashed the Trump-backed $500 billion AI project,https://news.google.com/read/CBMiqwFBVV95cUxNRzJ3aVB6eklBYW14eWppVGVjVFo0Wk4ya2p3OGpFd1ZCZDJieHcxUElaSWFKR0pNajQ3VGFXU1EyUnk4dEk0MXRlYjNyTUY3NTc0LUtvWDB5SldLUEpodTRUTS1tdF9GdGZ4ZUVEbEhmMkZLUURwOG1HVzJpT0NydjZxU0dKdlM5Q05rU2ZNMmJBV3RGQTY2b2p4cEhoMEFrM25FLXJGTmM5VnM?hl=en-US&gl=US&ceid=US%3Aen,21 hours ago,STAT,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.statnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
"New president, new rules: Trump rescinds Biden’s AI order",https://news.google.com/read/CBMipgFBVV95cUxNNlRER2t4c0dJSlAzWG9OTUxsay1JWE5IdE9hTGNBQTdfc2FtQUI3WWV4ZFdHdU5pazExVzF3NllrcUlrVmF6d2ZOeTRIYkQ5RmhxbV9GX09SVG1ERFN6RU1MVzc2OUZ4dUpnWHhvQmRMMS0tRURNdWQ4UHFWN19iWlFTeXd1RDhyOTRMUjh1dTV0MW0wcUZDNElBT1ROdmVKTFByWkJn?hl=en-US&gl=US&ceid=US%3Aen,4 days ago,U.S. News & World Report,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.usnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
